1. Arabidopsis thaliana,14. Cucurbita maxima,26. Malus domestica,38. Raphanus sativus
2. Asparagus officinalis,15. Cucurbita pepo,27. Medicago truncatula,39. Ricinus communis
3. Beta vulgaris,16. Daucus carota,28. Momordica charantia,40. Rosa chinensis
4. Brassica napus,17. Elaeis guineensis,29. Musa acuminata,41. Solanum lycopersicum
5. Brassica oleracea,18. Fragaria vesca,30. Nelumbo nucifera,42. Solanum tuberosum
6. Brassica rapa,19. Glycine max,31. Nicotiana tabacum,43. Spinacia oleracea
7. Capsicum annuum,20. Gossypium hirsutum,32. Olea europaea,44. Theobroma cacao
8. Carica papaya,21. Hevea brasiliensis,33. Oryza sativa,45. Vigna radiata
9. Chenopodium quinoa,22. Juglans regia,34. Papaver somniferum,46. Vigna unguiculata
10. Cicer arietinum,23. Lactuca sativa,35. Phaseolus vulgaris,47. Vitis vinifera
11. Citrus sinensis,24. Lotus japonicus,36. Prunus avium,48. Zea mays
12. Cucumis melo,25. Lupinus angustifolius,37. Prunus persica,49. Ziziphus jujuba
13. Cucumis sativus, , , 
